zero crier
unu o
doi fa
trei fra
patru fera
cinci cinco
sase shrek
sapte zebd
opt opt
noua barum
zece shift
suta taros
mie panos
milion gliame
miliard elon_maskus
primul leust
ultimul feurst
primul leust 
mijloc suk
dolar ritar
euro smar
leu hasova
verde fu
galben urtit
rosu zoro
sur fur
negru rasist
muzica hit
arta ler
istorie lime
istoric lima
cacat kuso 
pula sonia
pizda me
curva biusu
sex funnied
gaysex happied
fuck himbry 
nuduri nwadi
bleati painiuc
huinea itaelbos
piceana salt
cascaval galavno
lapte muc
suc ruc
ciocolata niamniam
bors bredin
zeama nemisu
tort aistolis
morcov vorcom
rosie sorvie
castravete gulpinder
cartof fortonis
cipsuri holin_fortonis
burger barvondir
pizza pizza
ketchup lond
maioneza donii
bors teo
a_fi di
a_avea nativan
a_manca cocacola
a_bea burgher
a_lua leam
a_se_uita bai
a_citi fridom
a_fute rhappied
a_linge biologus
a_scrie carton
a_iubi acota
a_pleca sorti
a_da halt
cu avec
cine quel
ce qu
pamant uif
cer rec
in ien
da ad
nu un
oi croc
ul eth
acela that
asta this
la al
eu e
tu t
noi ion
voi cvas
ei iis
ele yes
ok oko
cacat burcu
pisat chizburgher
apa parput
ulei naturvesensart
lubrifiant haram
otet fixiki
computer gyperscriper
telefonsoi
sticla butlica
creion oreo
pix xilo
carte etrac
calculator aitsnic
jucarie sist
dumnezeu fraunen
iisus sus
icoana mona_lisa
popa gixi 
sexist stes
omg croc_fraunen
idi_nahu t_i_jr
wtf qeth_imbi
imi_place donlaih
nu_ imi_place ilaih
te_rog t_i_drag
scuze chlachi
romana danu
engleza nu
chineza superidoltheshow
rusa invadr
ucraineana aristotel
germana krankenhaus
poloneza franskok
ungara vain_kampf
bulgara ruser
japoneza hentur
koreana seoul
pa nein
buna cvoi
piatra nien
diamant neo
argint tmi
aur ruma
copac vamur
pasare rizz
pisica carsuzan
iepure hoingorfic
caine chingchong
cal hita
stea urtos
brad famul
jucarii_de_brad sed
craciun zaizan
elf ave
anul_nou nam_yonan
tara sogol
oras soroc
satsit
regiune rachiu
toamna unu
iarna fiurst
primavara zarb
vara rebdusca
ianuarie nou
februarie pes
martie fleur
aprilie ramas
mai sultan
iunie cul
iulie toh
august sed
septembrie arisorti
octombrie halou
noiembrie nnn
decembrie jaiz
luni hell
marti tu
miercuri cacioc
joi oi
vineri kaif
sambata kaf
duminica depresiune
sora jan
frate and
mama mi
tata firstimic
sora_vitregă stak
frate_vitreg helpr
mama_vitrega smi
tata_vitreg spa
iubit cieaz
iubita cieaun
monstru zabivcreaza
cristi hrustabou
cris hrust
dumitru daimucika
dima daim
maxim masar
max mas
teo mateska
camasa dran
bluza arui
pantofi fenci
chiloti itsolic
pantaloni pantaloni
palarie kirghistan
spion faksak
parvenit ianih
concenai ianechoch
basketball larmon
